Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
13620,3151,237936,2079,339444,711349,613523,474,231828,2317355,7743,11,825,7,611,7625,68998,133,2,0,1
3880,1054,72030,501,290350,762449,507120,33,336571,343822,501,256,2681,261,2553,893,5506,2,2,0,1
13383,3157,230667,1957,340695,714507,618224,1535,2095311,2091046,7356,15,622,14,628,2770,20889,29,1,0,1
4299,1179,91626,571,370362,948815,646769,28,342555,350381,311,194,2700,252,2542,2061,14993,0,2,0,1
14440,3122,246268,2016,339355,713363,615624,638,180167,174335,3147,70,767,67,827,3318,21078,137,0,0,1
11261,2386,180416,1150,367006,915968,639904,37,342894,349351,275,8,2176,8,2064,2608,19287,28,0,0,1
10924,2244,168381,1161,319982,739773,587283,1736,1856936,1853394,8497,15,517,10,620,2836,17523,5,0,0,1
10644,2135,165342,1143,561479,1318867,979196,33,341694,348595,339,18,2369,23,2210,7119,61743,1,1,0,1
11674,2308,181113,1435,337071,708227,610217,627,172200,166740,3210,194,1489,191,1565,7080,61573,1,0,0,1
10097,2269,176874,1135,257673,1200236,883075,29,348335,354269,358,182,875,180,958,8942,77711,2,1,0,1
6244,1561,124494,1025,342273,720523,620743,682,394616,390519,3302,23,2400,22,2264,8110,70034,1,1,0,1
14796,3281,254924,2159,394240,1044582,690400,355,381869,381410,2007,9,526,7,609,8043,63674,133,5,0,1
10173,2095,145913,1031,332371,717539,597349,936,309619,311479,5054,255,2696,258,2567,3803,32957,0,1,0,1
9956,1927,133519,1008,313033,833402,550081,208,406551,404187,826,305,1540,358,1703,7098,61564,1,10,1,1
12238,2827,205468,1407,323667,709353,587300,60,412094,413025,306,78,2555,26,2194,9171,79452,1,5,0,1
3775,1029,74164,467,296567,772722,514601,21,193574,192951,24,9,530,8,627,8253,71282,1,1,0,1
13921,3340,249445,2084,650712,1386749,1169307,63,337178,344104,647,12,2228,16,2081,7961,63898,108,7,0,1
3697,996,73153,474,343370,768746,591027,674,392817,388025,3637,51,784,50,870,3729,31901,0,7,0,1
13981,3145,242793,1998,300946,790464,523780,881,1332253,1333964,4500,128,3016,129,2886,6921,60555,1,0,0,1
9897,2062,150130,1069,340305,722041,616350,105,313284,322752,1126,214,2024,212,1533,23331,196565,67,3,1,1
10715,2114,156928,1185,295065,769554,511797,1542,2384117,2377327,7085,21,2307,28,2169,7088,61727,1,23,0,1
14308,2739,206279,1622,338967,712651,611526,31,343789,350708,356,10,708,9,568,9109,79024,0,24,2,1
9946,2496,160019,1270,359171,920632,628582,636,158012,152458,3019,245,2741,250,2642,8508,73274,0,165,105,1
36124,3007,356562,2347,337742,707089,610541,31,343778,351253,274,726,3346,724,3431,7549,63033,130,1,0,1
29161,4252,364887,2954,518247,1260169,909528,613,155999,149785,3248,201,2873,206,2722,4091,35391,2,0,0,1
4705,1362,143902,628,326917,711258,594976,42,342747,349807,363,18,563,14,639,6846,59880,1,1,0,1
37960,3211,357567,2341,365892,908865,637801,626,409306,403620,3070,11,2227,10,2094,6252,97462,1,0,0,1
26668,4095,352285,2718,329293,715677,590768,324,382930,382530,1831,214,1092,211,953,135,22545,5,1,0,1
3785,1008,73947,483,290305,768362,512653,861,324963,325722,4402,215,948,213,951,340,34529,6,0,0,1
14429,3644,268324,2659,327632,709921,596904,229,198889,198452,1171,134,2865,136,2729,7112,62025,0,2,0,1
63407,7671,844510,5469,328474,749798,604183,45,341734,352261,806,462,2230,467,2338,205,202732,0,424,540,1
40402,9621,817691,4752,546931,1123521,942289,24,615810,607708,478,13,832,13,660,186,84639,0,1,6,1
85152,181,366175,24,295789,654230,517282,20,353022,352582,353,31,2206,33,2076,113,109523,0,222,234,1
3907,1046,71051,496,337820,708635,611837,34,347213,354956,349,18,1099,20,1227,235,80088,0,13,4,1
14285,3488,286013,2128,568881,1260827,990444,63,604539,599383,1385,13,769,11,652,154,122410,0,230,224,1
84726,151,358432,29,193832,389458,334617,22,240514,239162,32,26,2196,30,2012,123,86783,0,12,3,1
