Branch-instructions,Branch-misses,Bus-cycles,Cache-misses,Cache-references,CPU-cycles,Instructions,L1 dcache load misses, L1 dcache loads,L1 dcache stores,L1 icache load misses,LLC-load-misses, LLC-loads,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,class
18438,4521,336773,2928,53184,435410,113638,188,115742,115174,905,5633,24561,5731,22102,469,6505,0,354,257,1
97941,7907,599655,2336,43958,317712,91677,65,12897,12770,684,2241,10465,2271,10726,654,8749,0,323,285,1
4429,1232,80215,582,11764,47781,21712,71,20205,20205,1640,4440,22243,4542,22115,323,3869,0,0,0,1
18629,4601,335093,2923,20982,143773,39914,41,12826,12699,872,2413,10115,2445,10326,756,10490,0,349,210,1
95201,8178,595266,2470,29903,201679,59572,53,27237,27237,1500,2712,17039,2678,16632,1467,10309,114,387,322,1
34351,2878,369377,2239,14526,64823,34397,53,12928,12801,588,1134,3146,1136,3177,387,4465,0,0,0,1
40196,5893,520395,3254,21138,161206,49615,58,26529,26529,1667,2334,11203,2346,11488,1555,13675,0,218,244,1
105491,5924,446905,803,13101,56460,31593,114,14239,14112,774,2674,16960,2641,16542,1088,8476,57,224,158,1
31110,3267,257340,1755,19356,181613,38553,42,25614,25614,1481,1502,4090,1501,4109,735,7526,0,24,6,1
38791,3343,356276,2488,20630,148433,39754,55,12896,13691,712,2219,10054,2236,10241,505,6916,0,181,215,1
100306,8193,665183,3286,11071,46186,21187,41,19914,18993,1278,2870,16953,2842,16570,211,2859,0,111,88,1
67763,5419,372616,1791,11722,66942,21888,58,15182,15182,546,1268,3426,1273,3452,2809,59177,12,92,35,1
2958,348,27078,46,15331,132862,29404,70,15682,15555,887,567,3783,565,3920,5303,72728,14,0,0,1
10076,2081,156616,860,11763,47551,23457,35,16311,16311,1372,38,2075,42,1853,5383,132907,0,187,222,1
2958,404,35435,66,15173,92674,26944,47,15085,15085,520,13,146,12,144,338,3697,0,56,35,1
9696,2056,166405,855,13968,81429,26825,53,12828,12701,641,13,762,10,884,820,10580,0,70,22,1
15061,4314,226768,2281,16535,119067,35739,86,18932,18932,1581,364,2532,371,2339,243,3420,0,0,0,1
201835,42054,2744453,27230,102654,1029671,232769,26,10850,10850,95,9,141,0,129,331,3764,0,161,204,1
36180,2937,357688,2217,16519,126522,35722,1221,31439,22891,1478,387,2211,386,2300,1982,14019,115,9,1,1
58048,8857,664106,5507,144919,1416649,391668,64,19139,19139,1330,321,2097,325,1919,4234,35557,128,5,6,1
51082,9874,560189,4158,20231,162074,43633,470,20515,21710,2764,306,2735,447,3407,321,3764,0,304,342,1
25691,4796,316549,2674,74223,674485,164046,3201,77058,76231,9952,3921,18814,3902,18286,1036,6959,61,37,25,1
37801,3216,357579,2486,47286,372685,100975,1789,49593,49592,5861,3859,13894,3857,13910,904,5652,6,13,3,1
67357,5598,495237,2802,20336,165756,43196,58,12826,13620,674,9,839,10,773,3932,26192,158,219,250,1
93184,5101,406503,804,76255,711681,169108,3455,68188,67045,9392,1268,6408,1275,6235,6598,42054,273,44,33,1
3951,1038,63753,476,50092,413152,106384,81,15475,15346,922,506,3653,508,3654,908,5653,1,84,38,1
73269,15350,965655,8519,145154,710643,354032,1274,46718,46718,4649,2115,11126,2141,11384,7918,49867,300,0,0,1
3772,1003,65408,489,181000,1219598,766070,4451,229978,233065,7453,2634,16258,3115,17715,2488,14389,44,435,351,1
68915,14432,917818,7814,73666,553404,426284,54,12824,12697,499,1685,5198,1177,3378,332,3798,0,228,193,1
3980,1014,64077,532,153107,709032,368578,51,12905,12778,1106,13,798,9,894,466,6203,0,2,7,1
29162,7369,549412,5281,141705,966790,470269,92,20471,20471,945,207,2313,213,2145,322,3731,0,0,0,1
39109,3275,357107,2522,111887,827992,721533,2529,152963,156516,3829,15,787,13,872,1896,13446,106,223,255,1
69714,8027,640978,4881,20124,148736,43435,4124,266811,263723,12333,280,2231,286,2061,4268,29687,104,233,152,1
60923,11209,647810,5364,53312,418578,115772,2781,153828,157987,4686,11,711,8,804,323,3731,0,12,3,1
38557,3256,356167,2444,34361,235530,70392,2774,192823,189430,8137,26,1470,32,1293,1718,11018,99,411,310,1
106649,7349,615812,2384,18029,140641,41287,794,71787,71452,2481,303,686,302,694,4162,38551,120,772,716,1
52761,3154,277562,922,55718,445306,115671,44,12900,13194,539,12,711,13,839,328,3732,0,16,3,1
39487,3332,359405,2449,34167,236355,70216,66,20314,19891,1614,380,2795,381,2605,2029,13616,113,411,316,1
159245,11402,915090,3383,19841,166956,42378,45,18143,18143,131,283,741,280,725,3899,27170,90,812,726,1
4622,1276,87013,655,50995,404166,109747,82,15684,15555,908,8,140,11,147,444,4897,0,19,5,1
42041,9501,653546,6198,34950,241940,72317,2009,46120,46732,6148,357,3290,518,4028,6874,44131,464,404,325,1
37074,3110,356093,2408,26063,241334,56916,1381,43871,43312,3275,1869,12242,1812,11678,3922,36787,238,751,729,1
54938,7548,600599,4771,54871,520093,119578,363,17963,19154,2241,3495,10577,3500,10588,331,4061,0,0,0,1
56653,8739,480239,3255,51765,472131,107650,2047,63811,62990,8766,2304,10985,2331,11196,4948,32587,197,314,233,1
51951,10042,578653,4347,16500,124813,35671,4811,175316,175782,13251,2896,17551,2856,17156,954,5829,25,0,0,1
4872,709,36013,47,70120,684169,157639,467,21014,22455,2908,1941,5387,2038,5625,339,3764,0,479,370,1
16141,3609,253948,2110,54143,411234,111284,3306,78540,77467,9873,369,3157,520,3768,4908,32465,241,292,234,1
